,SRR1275356,SRR1275251,SRR1275287,SRR1275364,SRR1275269,SRR1275263,SRR1275338,SRR1274117,SRR1274089,SRR1274125,SRR1275299,SRR1275277,SRR1275370,SRR1275293,SRR1275348,SRR1275245,SRR1275342,SRR1274131,SRR1275346,SRR1275241,SRR1275279,SRR1275297,SRR1275273,SRR1274121,SRR1275336,SRR1274119,SRR1274087,SRR1274113,SRR1275267,SRR1275289,SRR1275283,SRR1275360,SRR1275255,SRR1275358,SRR1275352,SRR1275265,SRR1275368,SRR1275281,SRR1275362,SRR1275257,SRR1275350,SRR1274129,SRR1274123,SRR1275334,SRR1274085,SRR1274111,SRR1275249,SRR1275344,SRR1275243,SRR1275301,SRR1275295,SRR1275271,SRR1274133,SRR1275275,SRR1275291,SRR1275247,SRR1275340,SRR1274115,SRR1274127,SRR1275354,SRR1275259,SRR1275253,SRR1275285,SRR1275366,SRR1275261
ARL6IP5,0,1,7342,4364,756,0,126,76,309,708,16,2164,1,57,0,73,913,21,0,0,167,2737,9,2203,0,574,57,0,15,1234,1032,36,453,0,15,78,1876,2,0,2089,0,28,1191,0,577,27,289,7,0,0,451,1375,701,303,1747,0,84,74,63,0,266,1,3301,1,6764
ARL6IP6,0,4162,7,1,43,0,531,0,861,612,0,0,1,0,18,746,0,48,796,1029,0,76,0,0,127,0,1377,21,31,0,0,0,0,150,91,194,1,1,245,4180,14,0,63,0,39,0,1,0,114,14,0,0,175,0,275,0,1,365,34,0,0,1,11,1,82
ARL8A,0,1,48,1,8,26,1,0,1,0,0,0,323,0,93,0,0,1,0,0,31,0,89,0,0,1,0,0,0,0,1,0,0,132,9,0,252,3,0,20,0,0,0,0,1,0,1,0,0,81,0,20,0,0,2,0,1,0,0,0,0,1,3,1,0
ARL8B,1335,1,22,1,6020,26,1,106,0,361,105,42,1,3087,0,2441,0,2,518,0,14,0,346,1,0,405,0,0,262,508,0,0,262,26,87,0,842,148,0,20,27,35,0,0,0,0,1,0,41,87,160,3408,1,24,90,41,1,1,0,0,0,120,11,1,595
ARMC1,0,1,0,1,0,0,1,38,1304,79,1701,254,1,910,0,0,0,220,0,55,66,0,0,2414,62,20,11,43,1392,0,100,84,985,0,13,0,1,0,0,43,56,0,1374,0,8,543,337,0,25,429,81,5,1307,285,15,2,124,3,2789,0,406,1,20,1512,0
ARMC8,64,1,0,1,634,26,1,1,3,6,801,117,888,286,0,0,0,89,0,0,1618,59,0,2,0,1889,5,16,4082,26,0,0,0,135,381,0,1,2800,19,62,411,1578,56,0,92,129,1,57,134,0,0,31,17,1525,0,1493,1,120,4104,5766,0,1,327,1,0
ARMC9,0,1,0,1,0,0,1,12,0,2,0,0,1,0,5507,0,0,0,48,0,0,24,0,3,0,0,0,16,0,62,1,0,0,0,12,0,1,60,108,0,120,2,0,0,0,109,1,0,0,0,64,0,0,0,0,0,1,0,5,0,0,1,0,1,0
ARMCX2,0,1,0,1,0,0,1,0,0,0,0,66,1,2395,0,0,34,12,0,0,0,0,263,0,0,5,15,0,0,0,72,36,0,0,0,0,1,6,0,0,0,13,6,0,34,0,1,0,0,0,183,0,1,26,0,0,384,235,2813,0,0,1,0,1,0
ARMCX3,64,1,0,1,34,0,126,7,21,1,841,80,1,0,0,0,0,2104,0,0,3,0,4,15,0,75,20,1,0,0,0,0,0,0,601,923,1,834,0,394,215,3087,1,123,823,2,736,2987,0,0,27,0,0,5,0,0,308,62,696,128,0,1,0,65,0
ARMCX6,0,1,0,1,0,0,1,0,140,539,103,0,1,18,46,0,356,0,0,0,0,83,0,0,0,35,0,0,0,0,8,0,0,2198,1002,0,1,151,0,0,896,0,82,0,75,0,1,7,0,0,204,0,0,10,133,34,1,0,0,0,0,3421,0,1,22
ARMT1,0,1,0,1,0,0,1,1660,0,7,0,0,1,0,71,0,0,393,0,0,0,0,0,1,0,0,1,0,0,0,41,0,0,0,0,0,1,0,0,0,0,726,3069,0,1,14,1,0,0,14,7,0,0,0,31,0,685,0,414,0,0,1,26,1,0
ARNT,0,1,0,1709,0,0,1,0,0,19,228,0,262,0,63,0,0,0,0,240,114,118,1942,0,0,0,9,0,0,8,2,0,0,0,0,345,193,19,250,0,0,0,231,0,0,187,212,0,749,471,82,0,45,0,0,0,1,130,5,0,0,1,28,65,0
ARNT2,1245,101,250,1,0,67,612,103,6,0,180,0,1,0,247,0,1486,0,121,17,0,81,0,8,278,0,1,0,53,293,306,0,0,0,410,2280,1,4,0,0,0,2,37,0,2,3,1,97,19,14,274,0,1,260,0,35,1,5,29,0,0,1,0,65,0
ARPC1A,64,969,0,1,70,0,1212,2,701,20,183,129,1,18,45,0,0,241,0,0,81,0,1329,5,127,0,0,3,2203,252,1,475,3069,39,4,1364,1,5,27,80,3527,2010,33,0,167,58,1,92,0,0,237,2,1553,1199,72,237,304,12,1496,115,0,1,1149,287,58
ARPC2,973,3668,756,1,2073,991,1324,538,66,378,1413,1132,1557,181,51,743,0,2003,0,866,1377,298,950,166,1295,70,41,25,47,312,728,175,254,10,52,40,131,999,101,2997,124,128,383,72,3,1247,1596,0,672,2797,898,1343,50,1059,482,4621,283,686,226,864,1872,1,1455,2324,1563
ARPC3,64,1,336,2780,29,123,1,0,14,16,497,265,1,205,112,275,0,670,0,57,243,0,23,2,0,307,646,51,177,73,588,94,70,72,372,222,1,79,79,0,0,1152,30,0,264,370,1,49,735,634,207,832,664,1139,62,1187,84,424,0,373,644,1,537,1,573
ARPC4,1862,540,0,1,303,549,1,50,117,475,991,514,502,781,12,0,125,134,0,1006,68,887,248,0,172,100,164,102,202,772,72,175,973,0,4,290,897,176,0,1347,101,1232,642,0,119,264,68,0,311,338,282,394,36,22,26,65,147,2,400,1234,833,1,725,99,82
ARPC5,0,875,0,4544,1042,0,1,77,16,0,483,1190,82,3516,14,0,0,117,0,185,691,1688,2666,49,0,315,1056,0,1815,275,866,0,1832,913,4,1939,714,313,0,95,329,34,950,675,161,325,312,39,0,2010,1407,750,4,1697,334,931,1,0,0,4903,0,1,230,1,1410
ARPC5L,0,1,0,346,25,0,1,5,2,7,579,0,1,359,0,0,0,0,0,0,0,0,471,0,0,0,533,261,0,0,0,0,0,99,0,0,981,0,0,0,0,0,0,0,2,18,1,7,0,0,0,0,0,0,0,0,1,3,11,0,0,1,0,1,0
ARPP19,5715,101,109,1,2291,219,1,225,208,1304,22,1083,82,1390,151,73,92,14,39,154,31,51,4,0,127,12,1024,68,2466,735,1241,36,721,501,1560,697,1,69,24,80,443,131,58,0,781,2062,222,0,61,75,1937,984,457,1828,3384,150,175,795,1023,2155,263,1,26,3783,262
ARPP21,0,1,0,1,0,0,1,0,0,0,2771,121,82,235,0,0,0,0,0,0,340,418,4,0,0,0,0,0,0,186,1136,0,104,0,0,0,1,3986,0,3914,42,0,0,0,0,0,1,7,0,1183,1073,1343,0,47,0,0,1,0,0,350,78,1,893,1,161
ARRDC3,193,2721,7663,158,13821,1998,1,3851,290,4364,4383,9550,14848,6628,1325,1774,6700,2561,3818,281,47,8197,8773,1037,2474,6382,122,3522,3242,8,1787,0,3900,1148,4300,10572,154,15,8079,3709,210,3187,7777,6066,8079,5978,7873,2083,255,3564,3818,2893,4452,2762,5715,5428,693,3851,1437,2040,4722,16512,4190,15613,4219
ARSB,0,1,0,1,270,0,1,109,14,521,268,68,348,810,6,0,0,0,0,0,3,0,0,0,0,0,0,15,0,8,17,0,801,338,0,536,500,0,1281,20,0,125,0,0,98,0,1,118,63,419,7,90,0,0,22,10,1,98,0,0,0,1,234,1,0
ARX,641,177,22,3637,24,0,153,0,0,6,0,148,394,0,621,0,0,0,1229,38,0,0,0,0,1714,0,17,3,0,0,1,0,0,0,47,0,1,0,0,0,0,0,0,0,0,754,1,0,172,0,0,0,2,28,7,0,84,0,0,0,0,454,3,1,0
ASAH1,0,1,2617,1,0,121,1,959,0,0,0,2,1,2299,6,0,0,4,0,1014,224,883,17,0,0,102,295,1,0,168,162,0,0,0,3491,0,89,775,8,0,0,0,0,0,24,97,1,0,0,53,0,2,21,18,651,51,1,153,16,0,0,1,1196,1,0
ASAP1,64,892,63,158,0,0,643,1,160,178,0,7,1,0,127,188,0,0,39,470,253,0,25,185,0,14,198,16,0,0,5,769,0,61,112,0,1,0,6213,806,297,62,1087,0,86,0,1,76,1199,70,7,0,1,39,727,0,1,51,15,128,136,1,0,1,0
ASAP2,0,101,0,1,441,6268,352,142,3,47,0,0,1,0,182,0,4475,42,0,0,0,77,30,616,0,11,273,2003,47,0,0,0,0,0,181,51,1,3737,121,0,14,11,1722,0,0,1033,1,0,156,0,0,0,606,11,9,0,1,2893,32,482,50,1,0,1,0
ASB16-AS1,0,1,0,1,0,0,1,106,3,27,0,0,1,0,0,0,0,0,0,0,0,28,0,0,0,18,0,0,0,269,0,0,0,1854,0,0,1,2,8,0,0,2,0,0,0,0,1,714,0,86,0,0,0,1,0,0,623,0,6,0,0,1,0,1,0
ASB8,64,281,4,891,9,1726,1,0,0,0,0,426,1,0,0,0,3242,22,0,27,0,0,0,0,4671,0,0,0,1483,0,263,0,0,0,270,222,1,10,835,80,207,2,0,2997,0,0,1,0,29,100,1147,7,0,114,64,14,124,0,0,46,50,1,0,65,119
ASCC1,0,1,0,1,0,0,1,3,247,32,80,0,1,1281,61,0,0,232,0,0,0,14,297,1,0,723,3,1,118,0,4,0,0,0,4,19,1,2,8,0,0,2,1,528,136,0,1,0,0,0,446,0,99,7,23,2,1,0,12,0,0,1,752,1,2459
ASCC2,0,1,41,1,0,209,1,0,0,0,266,0,3900,0,6,0,0,0,0,0,0,28,0,2,0,1,22,343,87,54,0,36,0,0,0,0,1,20,0,0,0,0,6,0,5,0,1,0,818,25,51,0,68,22,61,31,1,0,13,0,0,1,0,1,274
ASCC3,0,1,0,1,30,0,1,336,143,196,0,5,1,0,419,0,129,89,0,0,0,0,0,0,0,30,0,0,0,0,71,0,0,132,0,0,89,9,155,0,0,295,1,0,0,670,1,59,53,14,0,2,128,1,6,0,84,0,0,0,0,1,0,1,22
ASCL1,0,1,0,703,499,0,1,695,5,0,0,0,791,47,0,0,0,109,0,0,0,0,0,0,0,1,1,0,0,87,18,0,0,3242,0,0,1,0,0,0,27,0,0,0,4,0,518,313,0,0,0,0,0,1512,6,7,1,0,0,0,0,1,3,1,0
ASF1A,0,1,0,671,28,0,1,645,33,1076,7,19,1,652,0,336,352,2,1427,0,289,0,9,962,0,477,59,101,0,0,0,364,0,2644,0,0,603,2,1398,0,3882,82,527,0,1,475,1,21,93,52,86,0,1563,145,1,15,1,0,2706,46,0,1,0,4383,0
ASH1L,0,503,309,462,0,14,1,0,1732,13,0,96,1,3167,59,0,301,1,0,173,75,0,35,1176,237,4,0,412,65,717,82,8956,33,3448,0,0,295,238,603,20,0,0,2,2299,3882,41,1,41,55,192,872,2,4,15,864,15,4062,1641,0,1447,223,1,263,1,116
ASH2L,0,1,0,1,177,0,1,0,6,1,0,0,1,0,0,271,0,1,130,151,0,0,13,0,0,107,0,0,0,0,44,0,0,0,0,0,1,101,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,69,0,0,1,0,0,0,0,1,57,1,0
ASNA1,0,1,0,1,87,550,1,3,0,1,169,201,1,26,16,0,0,3,210,0,81,492,89,15,0,0,0,0,15,0,1,0,0,10,28,19,1,3,90,0,0,18,0,0,0,0,1,0,623,0,210,0,0,3,0,2,1,0,42,0,0,1,9,1,352
ASNS,64,1007,19,1,0,0,1,0,2127,0,817,103,1,18,181,1912,0,0,0,2003,780,0,1656,20,62,5,1,2522,466,1064,2118,0,2712,0,0,882,1204,2533,989,1483,14,7,2,240,2,0,1,1757,795,0,7,4878,166,1203,2,647,910,1452,1,1701,0,438,19,1,0
ASNSD1,0,1,1604,1,51,689,1,0,7,44,1206,0,1,0,785,0,0,0,0,17,320,0,0,2961,203,0,537,141,31,2902,13,0,33,10,412,0,1,378,0,0,0,19,3,0,0,2,1,252,0,0,0,537,0,1,0,99,849,0,0,0,118,5538,31,194,38
ASPH,0,1,156,158,7,0,1427,0,2,22,0,0,1,0,0,0,0,5,0,0,0,0,0,475,0,55,16,19,0,135,0,0,70,2674,231,0,131,3,0,107,138,22,9,0,0,65,1,1160,0,0,0,0,0,0,1057,0,1,6,73,46,0,1,0,1,38
ASPM,0,1,0,540,2280,0,1,3914,148,2428,0,0,1,0,6,0,0,878,0,217,3,0,0,8606,0,2428,508,4321,0,0,774,0,0,0,0,0,1,0,7663,20,0,6316,5715,0,5213,2489,1,322,0,14,0,8,4300,2408,712,0,84,2,2635,46,0,1,0,1,0
ASRGL1,0,1,0,1,33,0,1,0,0,0,0,46,1,82,0,0,0,180,0,0,1,373,17,3,172,1,3,310,0,0,4,0,0,227,86,0,1,0,0,0,0,25,31,0,1,32,1,0,0,0,0,114,1,554,23,2,1,2,9,0,0,1,0,5246,0
ASTN1,1532,1,0,545,0,0,1,1,2,0,90,0,1,78,112,0,0,1,0,0,1,0,0,20,0,12,6,6,0,1160,0,0,0,0,0,0,1,1,0,0,45,7,10,0,0,0,1,0,0,0,21,57,0,0,0,0,1,4,1,0,0,1022,3,1,0
ASTN2,353,1,32,1,10,45,1,2,1,1,23,7,341,53,52,204,492,0,119,0,10,48,30,988,344,10,0,0,75,32,1,206,131,59,14,0,201,4,44,148,60,5,6,0,9,12,222,18,29,52,31,10,39,7,4,11,1,2,1,242,0,313,31,126,22
ASXL1,0,749,9,1,0,0,1,45,15,2045,237,51,926,18,0,0,0,0,1440,0,134,0,20,30,0,0,5,117,89,0,0,2026,0,0,0,0,1,24,447,0,0,0,86,0,0,0,68,7,0,1455,0,195,17,0,6,212,247,18,40,0,50,1,32,1,0
ASXL3,1720,1,0,4671,0,0,1,0,19,1104,0,187,1540,1774,10,37,0,4,0,977,3564,8606,1567,319,0,1,0,0,3087,48,1774,619,0,66,4,1196,1,1,935,95,14,2,0,1772,1,3863,1,7,33,789,6764,7,1,3551,22,5353,1139,264,0,833,0,1,3722,288,0
ATAD1,0,1,0,1,0,0,1,1,0,2,0,479,150,18,10,533,0,55,7342,17,1304,77,891,0,0,3506,47,167,0,8,5,36,6628,0,0,40,1480,1263,49,0,14,175,0,127,0,0,1,551,0,0,28,1931,0,65,4498,0,1,0,16,0,0,198,68,1,22
ATAD2,0,1,91,1,34,929,1,32,3,42,0,0,1,0,16,0,34,269,0,62,0,0,9,7,0,7,633,346,31,32,6268,0,255,39,199,0,502,0,844,126,48,457,0,0,84,1385,681,3469,117,0,0,0,0,564,114,0,1,798,37,0,0,1,3,1,58
ATAD2B,3971,1,0,823,0,0,1,0,0,0,0,0,2058,34,6,0,0,0,21,0,0,1545,9,0,409,135,35,0,0,0,0,2021,0,10,0,0,427,0,165,0,0,0,15,285,14,8,446,0,776,0,0,0,0,0,0,13,476,218,0,0,0,1,252,1,0
ATAD5,0,1,290,1,0,0,1,92,404,57,441,2,182,0,0,0,0,225,0,101,255,0,492,260,0,82,51,550,0,0,181,36,0,193,599,0,1,0,8,0,14,657,0,0,412,23,1,290,0,39,75,0,26,276,1075,0,1,136,1589,46,0,1,383,1795,254
ATCAY,1557,320,12,1665,61,34,1,0,32,0,826,94,508,125,6,37,0,0,0,0,2170,1172,1131,0,2902,0,21,0,910,5614,0,0,1168,0,0,1415,1,198,0,126,0,0,0,381,0,0,6458,1371,12,1240,1226,0,0,519,5,347,84,9,0,1708,407,293,1931,133,58
ATE1,0,177,4,1,0,118,1,10,1,19,0,0,1,0,96,0,0,0,0,0,1,76,9,2771,62,3,1,10,0,0,5,1493,0,0,0,0,1,1,0,4671,0,38,15,0,153,1030,1,0,0,0,59,0,678,0,26,2,1,179,0,1551,0,1,12,1,0
ATF1,0,1,0,1,0,14,1,0,4,0,0,0,1150,0,0,0,288,0,0,0,3,0,0,1,0,0,75,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,20,0,7,17,1,7,0,0,7,0,0,0,0,0,1,12,10,46,1190,1,0,1,22
ATF2,64,1,385,1,4024,26,1,0,78,23,652,0,1191,315,6,0,0,12,300,17,1,0,0,55,0,0,0,1380,31,1295,26,68,0,0,0,74,1,1289,8,0,0,2447,0,1532,492,95,1,0,132,61,2674,89,25,460,0,50,3931,34,0,0,50,1,183,538,0
ATF4,0,1,0,1,745,0,444,29,140,65,53,1778,480,284,673,0,34,21,48,945,3,2331,9,28,0,1563,691,1887,0,8,312,68,854,10,330,83,1,49,36,0,14,38,570,0,15,15,207,102,3948,0,7,30,2,2,354,45,124,1,331,0,112,120,3,1066,3133
ATF6,129,1,0,158,13,2043,1,4260,0,12,0,20,1,2515,0,73,34,551,0,457,92,0,4,260,127,3,0,0,84,193,16,36,56,26,682,3059,1,156,210,80,27,225,1343,51,156,21,103,353,22,0,181,52,0,1,3,7,1,3209,1,0,0,241,545,1,1926
ATF7,833,1,0,1,42,14,1,0,0,0,0,0,1,56,24,1324,0,0,89,0,4,407,9,84,0,0,0,8,271,0,1,0,0,2744,45,61,1,0,15,20,0,0,0,500,0,0,1,18,39,14,199,190,0,31,104,31,418,0,0,401,881,1,0,1,0
ATF7IP,4240,512,1151,634,29,26,1,135,3,2,0,0,82,144,371,60,1263,1,2666,17,190,0,65,142,3668,4475,6,18,0,26,0,121,3110,188,0,633,642,119,0,561,34,314,242,369,33,72,647,7,331,0,7,292,18,2,35,0,1,30,129,137,425,120,0,1735,22
ATG12,0,1,4,1,20,0,1088,711,15,59,208,3882,82,47,0,37,1962,14,190,0,13,3421,1912,54,0,3448,3,2152,0,362,1463,36,1293,120,0,0,1410,196,26,266,14,3441,771,0,11,746,1,1045,668,1416,2762,1390,64,139,1790,111,11070,17,4180,0,1571,1,9,1,1630
ATG13,0,1,21,1,7,0,1,0,18,0,0,0,1,0,0,270,0,102,0,0,66,279,13,1073,0,0,1045,49,3948,336,318,879,0,0,0,19,1,0,37,5614,353,26,2,481,1,0,839,158,3046,0,0,0,2099,1,362,24,286,1,56,0,94,1,35,1,0
ATG14,424,1,138,1,4,0,1,0,0,1,98,2,550,0,0,0,0,0,0,0,196,0,4,0,894,1,0,6,0,26,1,0,0,253,7,0,1,0,19,0,14,157,0,0,0,0,1,14,132,14,7,0,0,0,9,0,239,4,0,6628,103,1,0,1,280
ATG2B,1036,1,3469,1,0,0,1,5,0,4,0,1753,818,0,0,82,0,7,0,0,0,14,0,2617,0,0,0,0,374,0,0,36,0,75,0,134,1,1,8,0,0,2,0,0,0,0,1,0,0,0,238,0,0,0,669,986,1,5,22,0,0,1,2031,1,0
ATG3,0,1,2203,1,748,0,1,0,23,0,0,185,304,0,0,196,0,0,48,57,0,0,70,0,0,0,1,0,0,0,532,429,0,201,0,78,1,1,497,20,0,592,0,176,74,401,132,83,0,0,107,0,28,246,696,4,1,3,7,46,0,1,41,1,0
ATG4B,64,1,338,1,0,14,1,4,0,66,0,0,1,0,0,0,0,2,2185,429,6,116,0,1,0,0,4,0,0,0,8,0,0,0,0,194,385,210,8,0,1392,56,11,0,0,2,1,33,0,419,0,133,432,64,0,52,1,1,421,0,180,1,0,1,0
ATG4C,0,1,0,1,0,0,1,0,0,0,0,0,1,1217,69,3579,0,2,0,0,0,767,13,2,0,0,0,0,0,8,0,0,33,0,2324,1196,1,80,0,0,0,242,0,0,0,241,1,48,0,0,0,0,0,204,10,0,1,10,0,0,0,120,3,1,0
ATG5,0,1,0,1,0,0,1,0,49,0,0,0,1,0,12,0,199,21,39,0,1,0,322,669,0,0,0,0,0,209,0,0,0,0,0,2670,1,2,0,0,0,0,27,0,34,0,1,0,235,0,36,0,0,0,6,2,1,10,0,0,0,1,12,1,1680
ATG9A,0,1,0,1,94,0,1,22,0,1,7,2,1,93,188,0,147,1,0,0,0,377,58,0,0,1,0,0,0,0,2,0,0,0,253,0,1,0,3076,215,0,2,0,0,0,0,1,0,0,735,7,2,0,35,4,40,1,0,0,0,0,1,0,1,0
ATIC,0,1,140,1,8,3326,1,1512,69,268,0,0,1,0,0,0,0,60,0,17,0,57,0,39,62,4,0,28,0,0,0,106,0,189,124,277,1,83,0,0,258,13,120,323,0,2,515,0,0,0,7,2,284,0,0,2,1,565,70,0,0,1,6,1,0
ATL1,8442,101,0,1874,122,14,1,0,18,670,0,0,182,668,268,0,0,0,0,27,53,0,0,0,0,3,0,59,309,0,0,0,0,0,1217,940,1,62,0,3900,0,23,0,1064,104,0,1,233,754,0,0,854,1274,0,0,0,3607,34,0,0,50,1,3,1,0
ATL2,0,1,4,1,0,0,1,0,115,0,0,5,1838,0,0,0,0,47,62,0,1,2062,30,20,249,0,43,3093,0,0,0,0,0,36,4,187,1,0,0,0,4594,0,13,0,2,2,1,0,0,0,0,0,122,13,1596,224,84,0,4,165,0,1,612,1,0
ATL3,0,1,148,1,54,1304,587,0,2,0,0,0,1,0,52,73,34,1316,86,157,541,0,4,35,0,0,0,0,403,0,84,36,0,1064,83,0,1,0,0,0,0,2,36,0,3,0,1,21,1350,0,0,0,4,33,357,15,1,0,1,0,2031,1,257,65,0
ATM,0,1,1022,1,2,0,1,1181,926,1,7,44,441,18,1749,37,1036,220,0,0,35,833,27,19,62,0,90,5,15,184,1425,148,0,0,963,0,2966,49,0,902,0,740,70,1942,22,1160,1,519,1233,144,7,196,226,201,41,27,84,824,5,0,0,1,0,1,0
ATMIN,3900,1,0,1,34,0,1,0,4,1,0,0,1,0,0,0,0,5,0,0,0,304,0,1,0,0,1,98,0,0,3,0,33,0,0,0,1,0,0,62,0,0,0,0,3,0,1,0,0,3187,829,0,0,1157,0,0,1,1610,0,0,0,1,3,1,58
ATN1,0,302,0,1,0,0,289,0,0,1,56,5,1,0,0,0,0,0,505,0,14,24,0,0,298,1,3,0,68,102,0,36,33,172,0,0,1,18,0,0,0,0,1,0,0,59,268,0,0,0,0,0,0,0,48,6,1,0,0,0,185,1,15,1,0
ATOX1,0,526,74,1,88,0,1,49,68,16,207,277,1,356,0,37,0,38,0,0,50,540,294,18,0,245,0,255,0,222,0,36,732,0,0,105,552,64,0,0,0,34,89,0,114,49,1,0,19,0,0,7,52,0,3,13,1,8,738,0,178,120,331,1,738
ATP11B,0,1,0,1,0,0,1,77,1,0,0,17,1,0,114,37,0,114,0,0,70,0,17,0,0,0,0,18,0,54,0,1151,1106,10,0,0,89,22,0,20,420,0,29,300,90,2,103,193,43,729,174,0,0,0,7,0,84,158,30,591,0,1,134,1,22
ATP11C,0,1,0,1,0,0,1,23,2003,18,7,670,1,0,0,37,214,1,0,0,0,0,4,0,0,1,553,4,1031,173,0,0,0,0,0,0,1,55,0,0,1451,0,254,0,1,0,1,565,0,14,71,0,0,5818,41,0,1,0,0,193,0,1,0,1,0
ATP13A3,193,1,0,1,0,0,1,4,1,0,200,0,497,283,127,248,0,25,0,10146,1,2706,0,27,0,28,20,9,0,8,349,0,33,794,27,32,1,1955,0,0,34,160,40,0,459,887,1215,14,0,113,79,2,18,411,192,718,1,4,0,0,667,1008,3,527,933
ATP1A1,0,1,278,1,24,0,1,0,95,0,0,16,1,0,122,0,0,8,0,0,0,0,0,257,0,0,0,3,0,0,0,0,0,0,0,431,1,128,0,0,0,0,7,0,2,0,1,0,0,0,0,0,1,0,190,190,1,1,1,0,0,1,0,1,22
ATP1A2,129,1,0,158,0,0,2366,0,74,1,0,0,1,0,3133,0,183,0,232,2550,0,0,4,0,0,289,0,2,0,0,0,0,0,1293,381,19,2428,0,0,0,14,0,0,0,23,0,140,7,3516,0,0,0,0,0,29,0,1,0,0,0,0,1,6,1,0
ATP1B1,0,1,0,1,0,0,1,0,0,1,0,90,1,88,0,1423,353,9,0,386,0,0,0,1,0,0,1,0,0,0,0,0,0,0,24,0,391,6,0,492,312,39,0,0,1183,0,3198,0,264,0,416,15,0,0,562,356,1,0,182,0,0,1,0,1,0
ATP1B2,0,1,63,1,2270,39,5246,0,9,0,0,0,82,0,4903,82,0,0,677,251,6,980,193,579,0,182,2,34,0,8,739,36,0,464,3818,19,1,0,0,20,221,215,0,0,3,0,648,7,896,14,0,47,0,1,11,0,1168,250,75,218,154,1,0,1,4082
ATP1B3,0,1,0,1,6,0,1,913,1,35,73,20,82,0,430,0,0,30,0,0,42,0,581,346,0,3,5,8,0,0,48,2627,2925,0,16,91,89,23,0,482,1971,13,4,0,2,21,1,0,0,123,0,243,4,1,79,2,391,118,752,0,94,198,6,2420,189
ATP2A2,0,177,0,1,1365,591,1,9,3,2,0,12,1,71,123,0,0,0,39,0,5,14,0,5,323,104,2,66,70,0,0,5766,33,2533,98,0,1,124,0,0,176,95,0,0,3,206,1,77,0,25,0,0,7,0,4,11,1117,1,772,0,240,1,6,118,183
ATP2B1,0,354,0,329,1139,34,1,783,1604,2,2434,167,1,0,1480,0,0,339,0,0,33,0,0,2,5466,123,3516,6,95,51,2725,36,592,10,2311,723,1,604,0,5172,14,427,835,1459,318,2,1,792,0,0,283,532,398,337,29,17,777,223,71,350,0,1,2094,1,869
ATP2B2,0,1,0,1,4,0,1,0,0,27,7,164,1,205,0,0,0,0,0,47,73,0,0,0,0,23,0,0,0,512,2,0,33,0,0,0,1,343,0,153,0,0,0,0,0,0,1,0,0,88,0,11,0,0,0,0,1,0,0,0,0,1,14,1,0
ATP2B4,129,1,193,1,110,193,725,1,45,753,0,30,82,0,401,37,1284,5,0,3276,0,0,0,458,62,0,0,0,0,0,124,182,0,1395,1420,0,3551,0,0,0,0,0,24,51,0,3,1,0,25,0,0,0,2,359,1,23,1,16,356,0,103,2077,0,1,267
ATP2C1,0,1,0,1,0,0,1,0,0,2,27,142,1,160,0,0,0,24,0,0,0,657,0,12,0,181,13,189,0,0,0,0,1455,0,0,170,1,13,19,0,0,2,0,1912,3,40,1,0,0,0,0,34,0,0,2,2,84,15,1,46,0,198,0,1,0
ATP5A1,474,1,4199,158,113,1012,961,2101,4772,4280,6764,1320,699,723,8197,3971,2519,1701,8442,50,9,1086,25,4093,476,8606,205,3491,4043,426,745,84,5507,181,1606,87,1,4804,588,1295,14,5614,6268,3722,2920,5138,429,3834,478,36,2353,6420,2304,3384,4001,3380,2482,7069,134,4671,118,266,2793,312,5507
ATP5B,0,302,1850,1812,4321,850,5213,4343,4671,1934,7150,6852,150,2155,3375,144,34,319,0,95,6066,1435,151,6934,62,783,6458,9386,359,1735,3364,3175,6066,377,154,758,1,2331,2884,437,27,3986,7003,314,5013,5428,103,278,7003,25,887,4747,7551,4544,2431,75,165,2866,2603,504,4878,313,238,5682,78
ATP5C1,0,101,73,1,2902,1674,673,531,74,485,328,407,150,1056,723,0,310,260,0,3421,103,712,283,1669,62,1031,73,180,689,43,811,213,488,1343,29,536,1,824,3799,1410,0,23,1618,98,274,663,1,710,3082,3364,1476,5,568,1433,45,553,84,689,862,115,50,3882,1726,241,2304
ATP5E,0,691,61,1,29,0,306,5,23,9,35,2,394,47,0,37,0,7,0,27,18,74,4,6,0,48,40,14,120,102,1,0,0,0,29,19,1,2,116,0,112,14,24,0,9,27,1,0,0,57,46,5,3,7,3,4,1,2,11,0,94,1,21,87,161
ATP5F1,419,336,1769,158,1410,197,309,434,974,1320,184,3187,82,3681,10,474,4878,629,124,2635,1887,240,59,1678,3766,321,2,1708,3737,97,69,36,0,10,280,56,89,0,692,1847,65,2155,5013,0,3948,4722,68,18,167,310,18,2010,711,1532,3133,3459,1,2565,309,271,3986,1,44,2172,0
ATP5G1,0,1,4,1,577,635,1,27,15,0,196,305,1,1192,726,0,1193,262,0,570,361,71,343,14,2045,221,88,106,287,135,50,0,234,0,26,83,1,143,8,1815,0,170,2,0,30,199,1,0,0,0,0,14,987,126,29,2,1,47,684,0,323,1,201,1,204
